Company,TypeName,Inches,CPU_Company,CPU_Frequency (GHz),RAM (GB),GPU_Company,OpSys,Weight (kg),screen_x_size,screen_y_size,Touch_screen,IPS,Full_HD,4k_Ultra_HD,Quad_HD,Screen_Resolution_NA,Price,SSD,HDD,Flash_Storage
Lenovo,Notebook,15.6,Intel,2.0,4,Intel,No OS,2.2,1366,768,0,0,0,0,0,1,369.0,1,0,0
Asus,Gaming,17.3,AMD,3.0,8,AMD,Windows 10,3.2,1920,1080,0,0,1,0,0,0,1299.0,1,1,0
Dell,Notebook,15.6,Intel,2.5,4,AMD,Windows 10,2.3,1920,1080,0,0,1,0,0,0,639.0,1,0,0
Asus,Notebook,17.3,Intel,1.1,4,Nvidia,Windows 10,2.8,1366,768,0,0,0,0,0,1,466.0,0,1,0
Lenovo,2 in 1 Convertible,10.1,Intel,1.44,4,Intel,Android,0.69,1920,1200,1,1,0,0,0,0,319.0,0,0,1
Acer,Notebook,15.6,Intel,1.8,8,Nvidia,Windows 10,2.2,1920,1080,0,1,0,0,0,0,841.0,1,0,0
HP,Notebook,15.6,AMD,2.5,4,AMD,Windows 10,1.86,1920,1080,0,0,1,0,0,0,398.49,1,0,0
HP,Notebook,13.3,Intel,1.8,8,Intel,Windows 10,1.49,1920,1080,0,0,1,0,0,0,1103.0,1,0,0
Acer,Notebook,15.6,Intel,2.4,4,Intel,Windows 10,2.4,1366,768,0,0,0,0,0,1,384.0,0,1,0
Dell,Notebook,15.6,Intel,1.8,8,AMD,Windows 10,2.13,1920,1080,0,0,1,0,0,0,767.8,1,0,0
HP,Notebook,15.6,Intel,2.0,4,Intel,Windows 10,1.91,1920,1080,0,0,1,0,0,0,439.0,1,0,0
Asus,Notebook,15.6,Intel,2.5,4,Intel,Windows 10,2.0,1366,768,0,0,0,0,0,1,586.19,1,0,0
MSI,Gaming,17.3,Intel,2.8,16,Nvidia,Windows 10,2.43,1920,1080,0,0,1,0,0,0,2449.0,1,1,0
Asus,Notebook,15.6,Intel,2.0,4,Intel,Linux,2.0,1920,1080,0,0,1,0,0,0,415.0,1,0,0
Dell,Notebook,17.3,Intel,1.8,16,AMD,Windows 10,2.8,1920,1080,0,0,1,0,0,0,1299.0,1,1,0
Dell,Ultrabook,14.0,Intel,1.6,8,Intel,Windows 10,1.7,1920,1080,0,0,1,0,0,0,879.0,1,0,0
Lenovo,Notebook,14.0,Intel,2.7,8,Intel,No OS,1.7,1920,1080,0,1,0,0,0,0,599.0,1,0,0
Asus,Notebook,14.0,Intel,1.6,8,Intel,Windows 10,1.4,1920,1080,0,0,1,0,0,0,941.0,1,0,0
HP,Notebook,15.6,Intel,2.5,8,Intel,Windows 10,1.86,1920,1080,0,0,1,0,0,0,690.0,1,0,0
Asus,Ultrabook,15.6,Intel,2.8,16,Nvidia,Windows 10,1.8,1920,1080,0,0,1,0,0,0,1983.0,1,0,0
HP,Notebook,15.6,Intel,2.0,4,AMD,Windows 10,1.86,1366,768,0,0,0,0,0,1,438.69,0,1,0
HP,Notebook,14.0,Intel,1.6,4,Intel,Windows 10,1.44,1366,768,0,0,0,0,0,1,229.0,1,0,0
Lenovo,Notebook,15.6,Intel,2.5,4,Intel,Windows 10,1.9,1920,1080,0,0,1,0,0,0,549.0,0,1,0
Asus,Gaming,17.3,Intel,2.8,12,Nvidia,Linux,3.0,1920,1080,0,0,1,0,0,0,949.0,0,1,0
Microsoft,Ultrabook,13.5,Intel,2.5,4,Intel,Windows 10 S,1.252,2256,1504,1,0,0,0,0,0,1089.0,1,0,0
Dell,Ultrabook,13.3,Intel,1.8,8,AMD,Windows 10,1.4,1920,1080,0,1,0,0,0,0,955.0,1,0,0
Dell,Notebook,15.6,Intel,1.8,8,AMD,Windows 10,2.2,1920,1080,0,0,1,0,0,0,870.0,1,0,0
MSI,Gaming,17.3,Intel,2.5,8,Nvidia,Windows 10,2.7,1920,1080,0,0,1,0,0,0,1095.0,1,1,0
Acer,Notebook,14.0,Intel,2.0,8,Intel,Windows 10,2.1,1366,768,0,0,0,0,0,1,389.0,0,1,0
Asus,Gaming,15.6,Intel,2.8,8,Nvidia,Windows 10,2.2,1920,1080,0,0,1,0,0,0,949.0,0,1,0
Lenovo,Notebook,15.6,Intel,2.5,8,Intel,No OS,2.2,1920,1080,0,0,1,0,0,0,519.0,0,1,0
Dell,Notebook,15.6,Intel,1.8,8,Intel,Windows 10,2.02,1920,1080,0,0,1,0,0,0,855.0,1,1,0
Acer,Notebook,15.6,Intel,2.7,4,Nvidia,Windows 10,2.2,1920,1080,0,0,1,0,0,0,530.0,0,1,0
HP,Notebook,17.3,Intel,1.6,8,Nvidia,Windows 10,2.5,1920,1080,0,0,1,0,0,0,977.0,1,1,0
Dell,Ultrabook,15.6,Intel,1.6,8,Intel,Windows 10,1.88,1920,1080,0,1,0,0,0,0,1096.16,1,0,0
Apple,Ultrabook,12.0,Intel,1.3,8,Intel,macOS,0.92,2304,1440,0,1,0,0,0,0,1510.0,1,0,0
HP,Notebook,14.0,Intel,1.6,8,Intel,Windows 10,1.63,1920,1080,0,0,1,0,0,0,860.0,1,0,0
Lenovo,Notebook,15.6,AMD,2.5,4,AMD,Windows 10,2.2,1920,1080,0,0,1,0,0,0,399.0,1,0,0
Acer,Notebook,15.6,AMD,3.0,4,AMD,Windows 10,2.1,1366,768,0,0,0,0,0,1,395.0,0,1,0
Dell,Gaming,15.6,Intel,2.8,16,Nvidia,Windows 10,2.65,1920,1080,0,1,0,0,0,0,1349.0,1,1,0
HP,Ultrabook,15.6,Intel,1.8,8,Nvidia,Windows 10,1.83,1920,1080,0,1,0,0,0,0,699.0,1,0,0
HP,Notebook,15.6,Intel,2.5,8,Intel,Windows 10,1.96,1920,1080,0,0,1,0,0,0,598.99,1,0,0
Asus,Gaming,15.6,Intel,2.8,16,Nvidia,Windows 10,2.2,1920,1080,0,1,0,0,0,0,1449.0,1,1,0
